337	118	4	4.5	4.5	9.65	1	0.92
324	107	4	4	4.5	8.87	1	0.76
316	104	3	3	3.5	8	1	0.72
322	110	3	3.5	2.5	8.67	1	0.8
314	103	2	2	3	8.21	0	0.65
330	115	5	4.5	3	9.34	1	0.9
321	109	3	3	4	8.2	1	0.75
308	101	2	3	4	7.9	0	0.68
302	102	1	2	1.5	8	0	0.5
323	108	3	3.5	3	8.6	0	0.45
325	106	3	3.5	4	8.4	1	0.52
327	111	4	4	4.5	9	1	0.84
328	112	4	4	4.5	9.1	1	0.78
307	109	3	4	3	8	1	0.62
311	104	3	3.5	2	8.2	1	0.61
314	105	3	3.5	2.5	8.3	0	0.54
317	107	3	4	3	8.7	0	0.66
319	106	3	4	3	8	1	0.65
318	110	3	4	3	8.8	0	0.63
303	102	3	3.5	3	8.5	0	0.62
312	107	3	3	2	7.9	1	0.64
325	114	4	3	2	8.4	0	0.7
328	116	5	5	5	9.5	1	0.94
334	119	5	5	4.5	9.7	1	0.95
336	119	5	4	3.5	9.8	1	0.97
340	120	5	4.5	4.5	9.6	1	0.94
322	109	5	4.5	3.5	8.8	0	0.76
298	98	2	1.5	2.5	7.5	1	0.44
295	93	1	2	2	7.2	0	0.46
310	99	2	1.5	2	7.3	0	0.54
300	97	2	3	3	8.1	1	0.65
327	103	3	4	4	8.3	1	0.74
338	118	4	3	4.5	9.4	1	0.91
340	114	5	4	4	9.6	1	0.9
331	112	5	4	5	9.8	1	0.94
320	110	5	5	5	9.2	1	0.88
299	106	2	4	4	8.4	0	0.64
300	105	1	1	2	7.8	0	0.58
304	105	1	3	1.5	7.5	0	0.52
307	108	2	4	3.5	7.7	0	0.48
308	110	3	3.5	3	8	1	0.46
316	105	2	2.5	2.5	8.2	1	0.49
313	107	2	2.5	2	8.5	1	0.53
332	117	4	4.5	4	9.1	0	0.87
326	113	5	4.5	4	9.4	1	0.91
322	110	5	5	4	9.1	1	0.88
329	114	5	4	5	9.3	1	0.86
339	119	5	4.5	4	9.7	0	0.89
321	110	3	3.5	5	8.85	1	0.82
327	111	4	3	4	8.4	1	0.78
313	98	3	2.5	4.5	8.3	1	0.76
312	100	2	1.5	3.5	7.9	1	0.56
334	116	4	4	3	8	1	0.78
324	112	4	4	2.5	8.1	1	0.72
322	110	3	3	3.5	8	0	0.7
320	103	3	3	3	7.7	0	0.64
